ref_id,site_code,service_date,category,sub_category,status_note,amount,comment
100045,STL-02,2026-03-04,Intake,Standard,,412,first pass
100045,STL-02,2026-03-04,Intake,Standard,Reviewed,412,has status
100045,STL-02,2026-03-04,Intake,Standard,,412,later blank
100077,BAL-11,2026-03-05,Renewal,Priority,Open,88.5,both filled
100077,BAL-11,2026-03-05,Renewal,Priority,Closed,88.5,"both filled, later wins"
100091,ARL-07,2026-03-06,Intake,Standard,,0,all blank
100091,ARL-07,2026-03-06,Intake,Standard,,0,"all blank, later wins"
100091,arl-07,2026-03-06,Intake,Standard,Escalated,0,case differs - not a duplicate
100112,FFX-03 ,2026-03-06,Appeal,Standard,Verified,1250.75,trailing space in site_code
100112,FFX-03,2026-03-06,Appeal,Standard,,1250.75,no trailing space
100130,LOU-09,2026-03-07,Intake,Standard,  ,305,spaces-only status
100130,LOU-09,2026-03-07,Intake,Standard,,305,empty status
100158,STL-02,2026-03-08,Renewal,Standard,Reviewed,67.2,unique
100164,BAL-11,2026-03-09,Intake,Priority,,910,unique
100170,ARL-07,2026-03-09,Appeal,Standard,Open,44,unique
100181,FFX-03,2026-03-10,Intake,Standard,Reviewed,512.1,three-way group
100181,FFX-03,2026-03-10,Intake,Standard,,512.1,three-way group
100181,FFX-03,2026-03-10,Intake,Standard,,512.1,"three-way group, tie beats order"
100199,LOU-09,2026-03-11,Renewal,Priority,Closed,73.45,unique
100203,STL-02,2026-03-11,Intake,Standard,Open,150,"comma, in free text"
100203,STL-02,2026-03-11,Intake,Standard,Open,150,"quoted ""text"" and
an embedded newline"
100220,BAL-11,2026-03-12,REF NOTE: Intake,Standard,,61,prefixed
100220,BAL-11,2026-03-12,Intake,Standard,Reviewed,61,"bare - tie value, wins"
100234,ARL-07,2026-03-12,REF NOTE: Appeal,Priority,Open,77,"prefixed, has value"
100234,ARL-07,2026-03-12,Appeal,Priority,,77,"bare, blank - prefixed row wins"
100248,STL-02,2026-03-13,REF NOTE:Renewal,Standard,A,99,no space after colon
100248,STL-02,2026-03-13,Renewal,Standard,B,99,"bare, later wins"
100255,LOU-09,2026-03-13,ref note: Intake,Standard,C,12,lowercase prefix - not stripped
100255,LOU-09,2026-03-13,Intake,Standard,D,12,bare
479359,ARL-07,2026-03-06,Appeal,Priority,Open,864.18,first pass
779456,ARL-07,2026-03-13,REF NOTE: Intake,Standard,,807.65,first pass
860191,BAL-11,2026-03-30,REF NOTE: Intake,Standard,Closed,760.17,unique
296140,BAL-11,2026-03-29,REF NOTE: Intake,Standard,Verified,653.52,bare
964589,LOU-09,2026-03-21,Renewal,Priority,Closed,96.64,bare
173612,FFX-03,2026-03-14,Intake,Standard,Reviewed,517.3,bare
156207,LOU-09,2026-03-26,Intake,Priority,Reviewed,177.54,bare
571846,STL-02,2026-03-13,REF NOTE: Intake,Standard,Reviewed,871.82,unique
237757,ARL-07,2026-03-07,REF NOTE: Intake,Standard,Closed,234.26,prefixed
853101,LOU-09,2026-03-10,REF NOTE: Intake,Priority,Closed,198.68,bare
758964,BAL-11,2026-03-14,Intake,Priority,Verified,65.24,unique
992338,BAL-11,2026-03-05,REF NOTE: Intake,Standard,,271.78,bare
719787,BAL-11,2026-03-19,Renewal,Priority,Reviewed,465.62,first pass
373820,BAL-11,2026-03-30,Intake,Standard,Verified,480.52,bare
579566,STL-02,2026-03-21,Renewal,Standard,Verified,618,first pass
372851,ARL-07,2026-03-21,REF NOTE: Intake,Priority,Escalated,483.17,unique
885908,LOU-09,2026-03-11,REF NOTE: Intake,Standard,Escalated,449.27,prefixed
131880,STL-02,2026-03-25,Renewal,Priority,Reviewed,222.39,first pass
345472,ARL-07,2026-03-21,Intake,Priority,Escalated,214.68,unique
441042,FFX-03,2026-03-11,REF NOTE: Intake,Standard,Verified,535.27,first pass
910729,ARL-07,2026-03-27,REF NOTE: Intake,Standard,Verified,483.46,first pass
968086,STL-02,2026-03-15,REF NOTE: Intake,Standard,Escalated,462.65,first pass
761686,STL-02,2026-03-04,Renewal,Priority,Open,21.84,first pass
662760,LOU-09,2026-03-12,Intake,Priority,Escalated,258.59,prefixed
280210,ARL-07,2026-03-28,REF NOTE: Intake,Priority,Open,315.76,bare
905245,FFX-03,2026-03-10,REF NOTE: Intake,Priority,Closed,764.05,prefixed
